Name,Location,Brief Description
Parque Central (Antigua),"14.5581, -90.7343",Heart of Antigua - fountain and colonial buildings around main plaza
Arco de Santa Catalina,"14.5587, -90.7339",Iconic yellow arch and clock tower - most photographed landmark in Antigua
Catedral de Santiago,"14.5581, -90.7344",Colonial cathedral with baroque facade facing Parque Central - ruins behind
Convento de Las Capuchinas,"14.5559, -90.7356",Well-preserved convent ruins with unique circular tower and nun cells
Casa Santo Domingo Museum,"14.5533, -90.7321",Six museums within monastery ruins - colonial art and pre-Columbian collections
Volcán de Pacaya Trailhead,"14.3812, -90.6018",Active volcano hike - lava fields and volcanic landscapes 2-3 hours round trip
Escuintla Central Market,"14.3050, -90.7850",Major city market and refueling stop on descent to Pacific coast
Puerto de La Libertad Pier,"13.4889, -89.3222",Historic fishing pier with fresh seafood vendors and ocean views
Punta Roca Surf Break,"13.4900, -89.3230",World-class right-hand point break - one of best waves in Central America
La Libertad Malecón,"13.4892, -89.3218",Revitalized seaside promenade with restaurants and coastal views
El Sunzal Beach,"13.5150, -89.3520",Famous right-hand point break - long rides perfect for all levels
El Tunco Beach,"13.5000, -89.3533",Main surf beach with iconic pig-shaped rock - heart of Surf City
La Bocana,"13.4972, -89.3547",Powerful left-hand break at river mouth - advanced surfers only
La Guitarra Bar (El Tunco),"13.5001, -89.3531",Beach bar with live music and dancing - center of nightlife scene
La Bonita Beach Club (El Tunco),"13.5003, -89.3529",Boho beach club with stunning views and premium cocktails
Cadejo Brewing Company,"13.7006, -89.2244",Local El Salvador craft brewery with tours and tastings
Tamanique Waterfalls,"13.5347, -89.3964",Scenic cascades with swimming holes - popular half-day excursion from El Tunco
Santa Ana Volcano,"13.8533, -89.6308",El Salvador's highest volcano with turquoise crater lake - 4-5 hour hike
Joya de Cerén,"13.8333, -89.3667",UNESCO site - Mayan village preserved in volcanic ash - Pompeii of Americas
Ciudad Pedro de Alvarado Border,"13.9517, -90.1225",Guatemala-El Salvador international border crossing over Rio Paz
El Zonte Beach,"13.5489, -89.4256",Neighboring surf beach - smaller and more mellow than El Tunco
Volcán de Agua Viewpoint,"14.4653, -90.7428",Dormant volcano visible from Antigua - perfect cone shape at 3760m
Volcán de Fuego,"14.4730, -90.8803",Active volcano frequently erupting - visible smoke plumes from route
Canal de Chiquimulilla,"13.9333, -90.2000",Coastal waterway separating beaches from mainland - mangrove ecosystems
Auto Safari Chapin,"14.2167, -91.0000",Drive-through safari park near Escuintla with exotic animals
La Hachadura (El Salvador Side),"13.9500, -90.1167",El Salvador border town - entry point after crossing from Guatemala
