Name,Location,Brief Description
El Tunco Surf Beach,"13.494, -89.384","Black sand surf town, La Bocana left break, El Sunzal right point break"
Punta Roca,"13.470, -89.450","El Salvador's best wave, long right point break, 10km from El Tunco"
Usulutan Cathedral,"13.341, -88.418","Main Catholic Church in central park, 5th largest city in El Salvador"
Laguna de Alegria,"13.444, -88.496","Volcanic crater lake near Usulutan, scenic natural attraction"
Bahia de Jiquilisco,"13.283, -88.567","UNESCO Biosphere Reserve, mangroves and wildlife sanctuary"
La Union Port,"13.326, -87.825","Pacific port city on Gulf of Fonseca, tri-national gateway"
Mirador Conchagua Volcano,"13.274, -87.856","Spectacular viewpoint over Gulf of Fonseca, three-country views"
Gulf of Fonseca Marina,"13.337, -87.844","Boat tours to islands, Familia Park departure point"
Isla Meanguera,"13.157, -87.637","Salvadoran island in gulf, lunch stops, traditional fishing village"
Isla del Tigre,"13.296, -87.653","Honduran volcanic island, 783m conical volcano, black sand beaches"
Amapala Town,"13.280, -87.655","Historic Pacific port on Isla del Tigre, colonial architecture"
Playa Grande Isla del Tigre,"13.285, -87.685","Most popular beach on island, faces El Salvador, pirate legend"
Leon Cathedral,"12.435, -86.878","UNESCO site, largest in Central America, rooftop views, Rubén Darío tomb"
Iglesia de la Recolección,"12.440, -86.882","1786 Mexican baroque church, Leon's most beautiful"
Museo Ortiz-Gurdián,"12.436, -86.879","Finest contemporary art museum in Central America"
Museo de la Revolución,"12.436, -86.880","FSLN history, rooftop cathedral views, revolutionary heritage"
Cerro Negro Volcano,"12.506, -86.702","Active volcano near Leon, famous for volcano boarding adventure"
Ruins of León Viejo,"12.380, -86.617","Original colonial settlement, 45min from Leon, UNESCO site"
Flor de Caña Distillery,"12.576, -87.030","World-class rum, Chichigalpa, founded 1890, distillery tours"
Pochomil Beach,"11.774, -86.510","Pacific beach resort, surfing, seafood restaurants, weekend destination"
Granada Cathedral,"11.934, -85.956","Iconic yellow cathedral facing Parque Central, built 1583"
Iglesia de la Merced Granada,"11.929, -85.957","Bell tower climb $1, 360° views, oldest church in Central America"
Parque Central Granada,"11.935, -85.956","Heart of city, vigorón food stands, horse carriages, people watching"
Las Isletas de Granada,"11.929, -85.890","365 volcanic islets, kayaking tours, monkeys, birding, boat tours"
Lake Nicaragua Malecon,"11.928, -85.945","Waterfront promenade, Granada letters, bicycle rentals, pier"
Laguna de Apoyo,"11.925, -85.987","Volcanic crater lake 20min from Granada, swimming, kayaking, pristine"
Volcan Masaya,"11.984, -86.168","Active volcano, visible lava, evening tours, most accessible lava in world"
Volcan Mombacho,"11.826, -85.982","Cloud forest trails, zipline tours, coffee plantations, views of Granada"
Mercado Municipal Granada,"11.932, -85.953","Authentic local market, fresh produce, Nicaraguan food culture"
Casa de los Tres Mundos,"11.936, -85.955","Cultural arts center, beautiful gardens, artwork, 20 Cordoba entry"
ChocoMuseo Granada,"11.934, -85.955","Cacao and chocolate museum, history and manufacturing"
La Polvora Fortress,"11.941, -85.956","Built 1740s, protected city from pirates, historical military site"
Calle La Calzada,"11.933, -85.952","Main pedestrian street, restaurants, bars, shops, nightlife hub"
