Name,Location,Brief Description
Santo Domingo Church & Museum,"17.0658, -96.7208","16th-century baroque monastery with gold-leafed interiors and Museum of Oaxacan Cultures displaying Monte Albán treasures"
Mercado Benito Juárez,"17.0631, -96.7236","Oaxaca's central market featuring mole, chocolate, mezcal, tlayudas, chapulines, handicrafts, and local food stalls"
Monte Albán Archaeological Site,"17.0431, -96.7678","Major Zapotec capital (500 BCE-800 CE) atop artificially flattened mountain with Great Plaza, ball court, and panoramic views"
El Árbol del Tule,"17.0461, -96.6364","2,000-year-old Montezuma cypress with world's widest tree trunk (58m circumference) and 42m height"
Mitla Archaeological Zone,"16.9261, -96.3645","Post-Classic Zapotec site (900-1521 CE) famous for intricate geometric stone mosaics and palace structures"
Tehuantepec City Center,"16.3228, -95.2367","Colonial city and cornerstone of Isthmus Zapotec culture with Templo de Santo Domingo and traditional market"
Guiengola Archaeological Site,"16.3739, -95.2483","Ancient Zapotec mountain fortress above Tehuantepec, last stronghold against Aztec conquest with spectacular views"
Temple San Vicente Ferrer,"16.4333, -95.0167","17th-century church in Juchitán, oldest in the city, dedicated to patron saint with battle monument"
Juchitán Central Market,"16.4333, -95.0167","Massive traditional market dominated by women merchants, famous for textiles, handicrafts, and traditional foods"
Puerto Madero,"14.7172, -92.4128","Chiapas's main Pacific port and commercial fishing center with fresh seafood restaurants and nearby beaches"
Parque Miguel Hidalgo Tapachula,"14.9064, -92.2631","Beautiful central plaza with Indian laurel trees, colonial lampposts, marimba performances, surrounding Cathedral and Municipal Palace"
Museo Arqueológico Soconusco,"14.9039, -92.2614","Archaeological museum in Tapachula featuring artifacts from Soconusco region including Izapa culture pieces"
Izapa Archaeological Zone,"14.9, -92.1667","Massive pre-Columbian site (1500 BCE-1200 CE) bridging Olmec and Maya cultures with 89 stelae, 61 altars oriented toward Tacaná"
Volcán Tacaná,"15.13, -92.112","Second highest peak in Central America (4,060m), active stratovolcano on Mexico-Guatemala border in protected biosphere reserve"
Unión Juárez,"15.0539, -92.0925","Picturesque mountain village with Swiss-style houses, cool climate, coffee plantations, gateway to Tacaná Volcano climbing"
Playa Linda,"14.8644, -92.2789","Pacific beach near Tapachula with strong waves, expansive sand, ideal for water sports and swimming"
Playa Costa Azul Pijijiapan,"15.6944, -93.2111","Beach after estuary crossing with calm lagoon waters and ocean waves, ideal for boat tours and water sports"
La Encrucijada Reserve,"15.1, -92.65","Biosphere reserve with world's tallest mangroves (35m), estuaries, sea turtles, and rich biodiversity"
Finca Hamburgo,"15.0817, -92.0986","Historic early 20th-century coffee plantation in California-style with art nouveau decoration, museum and restaurant"
Finca Rosario Izapa,"14.9167, -92.1333","Research center near Izapa for cacao and tropical fruits, offers tours of traditional cultivation methods"
