Name,Location,Brief Description
Volcán Barú National Park,"8.8083, -82.5428","Panama's highest peak (3475m). Only place to see both Pacific and Caribbean oceans. Cloud forest biodiversity."
Sitio Barriles Archaeological Site,"8.7861, -82.6850","Pre-Columbian ruins (300-900 AD) with unique statues. Barriles culture artifacts."
Lagunas de Volcán,"8.7889, -82.6667","Panama's highest lakes (1240m). Protected wetlands with excellent birdwatching."
Parque Internacional La Amistad,"8.9000, -82.7500","UNESCO World Heritage cloud forest spanning Panama-Costa Rica border. 600+ bird species."
Los Cangilones de Gualaca,"8.5614, -82.3008","Natural rock formations with crystal-clear swimming pools in transition zone."
Playa Las Lajas,"7.9667, -81.8667","15 km Pacific beach in Gulf of Chiriquí. Sea turtle nesting site. Spectacular sunsets."
Las Lajas Beach Resort,"7.9694, -81.8625","Beachfront resort with pool and restaurant. Stage 125 accommodation."
Gulf of Chiriquí Marine Park,"7.8000, -81.8000","Protected marine area. Humpback whale birthing grounds (Jul-Sep). Coral reefs and islands."
San Félix Ngäbe-Buglé Community,"8.0833, -81.8500","Gateway to indigenous communities in surrounding mountains. Traditional culture."
Iglesia San Francisco de la Montaña,"8.2556, -80.9922","Beautifully preserved baroque church since 1630. National treasure."
Santiago de Veraguas,"8.1017, -80.9778","Provincial capital of Veraguas. Major transport hub. Colonial architecture."
Catedral Santiago Apóstol,"8.1011, -80.9761","Colonial cathedral with remains of independence hero General José de Fábrega."
Museo Regional de Veraguas,"8.1006, -80.9767","2000+ years of regional history. Pre-Columbian artifacts. Former 1855 prison building."
Hotel Mykonos Santiago,"8.0917, -80.9861","Full-service hotel on Pan-American Highway. Stage 126 accommodation."
Reserva La Yeguada,"8.4667, -80.8333","Protected reserve with pine forests and volcanic crater lake. Camping destination."
Natá de los Caballeros,"8.3306, -80.5139","One of oldest towns in Americas (1522). Basilica is oldest church in continuous use."
El Caño Archaeological Park,"8.3917, -80.4833","Pre-Columbian burial mounds (500-1200 AD). 2011 warrior chief tomb discovery."
Penonomé,"8.5167, -80.3567","Capital of Coclé Province. Colonial charm. Brief former national capital."
Museo de Penonomé,"8.5156, -80.3556","History museum in colonial building. Pre-Columbian pottery and regional traditions."
La Pintada,"8.5833, -80.4333","Artisan village famous for sombreros pintados (painted hats). Cigar factory."
Hotel Coclé Penonomé,"8.5183, -80.3550","110-room hotel at Iguana Mall. Pool and restaurant. Stage 127 accommodation."
Punta Chame Peninsula,"8.6056, -79.7111","Narrow peninsula with beaches and kitesurfing. Ferry departure point to Panama City."
Amador Causeway,"8.9333, -79.5500","6 km scenic road built from canal excavation rock. Connects 4 islands. Views of canal entrance."
Panama Canal - Miraflores Locks,"9.0167, -79.5944","World-famous engineering marvel. Observation decks to watch ships transit locks."
Casco Viejo Historic District,"8.9519, -79.5344","UNESCO World Heritage Site. Colonial architecture, cobblestone streets, vibrant culture."
Iglesia de San José - Golden Altar,"8.9517, -79.5350","Church housing legendary Altar de Oro, hidden from pirate Henry Morgan in 1671."
Plaza de Francia,"8.9494, -79.5339","Monument to 22000 canal workers. French Embassy. Beautiful Panama Bay views."
Panama Canal Museum,"8.9522, -79.5347","Comprehensive museum documenting canal history in historic Casco Viejo building."
Biomuseo,"8.9333, -79.5417","Frank Gehry-designed museum exploring Panama's biodiversity. Colorful landmark."
Panama Viejo,"9.0083, -79.4861","UNESCO site. Ruins of original Panama City destroyed by pirates in 1671."
Cerro Ancón,"8.9567, -79.5450","Highest point in Panama City. Panoramic views. Urban rainforest hiking."
Bridge of the Americas,"8.9400, -79.5650","Iconic 1962 bridge spanning Pacific canal entrance. North-South America connection."
Radisson Hotel Panama Canal,"8.9294, -79.5500","Hotel at canal mouth on Amador Causeway. Canal and bridge views. Stage 128 accommodation."
