Name,Location,Brief Description
Great Pyramid of Cholula,"19.0575, -98.3019","Largest pyramid by volume in world (4.45M cubic meters), 300x315m base, built 3rd century BC-9th century AD, dedicated to Quetzalcoatl, with 5 miles of tunnels and church on top"
Church of Nuestra Señora de los Remedios,"19.0575, -98.3019","Baroque church atop Great Pyramid of Cholula, built by Spanish, symbol of religious conquest over pre-Hispanic temple"
Cerro de las Minas Archaeological Site,"17.8023, -97.7722","Ñuiñe Mixtec site (400-800 CE) north of Huajuapan de León, only extensively excavated lowland Mixtec site open to public, includes palaces, ball court, market, tombs"
Huajuapan de León Cathedral,"17.8075, -97.7761","Cathedral of Nuestra Señora de Guadalupe, diocese seat since 1903, neoclassical style with 17th-19th century construction and modifications"
Capilla del Señor de los Corazones,"17.8078, -97.7765","17th century chapel in Huajuapan, houses image of Lord of the Hearts credited with breaking 1812 siege during War of Independence"
Regional Museum of Huajuapan (MUREH),"17.8070, -97.7755","Founded 1999, showcases Mixtec archaeology, ethnography and history with permanent and temporary exhibitions, library and artisan shop"
Cerro del Yukunitza Glass Lookout,"17.8135, -97.7825","Panoramic viewpoint overlooking Huajuapan de León, accessible via hiking trails with expansive valley views"
Monte Albán Archaeological Site,"17.0397, -96.7673","UNESCO World Heritage Zapotec capital (500 BCE-850 CE peak), 9km from Oaxaca, includes Great Plaza, ball court, observatory, tombs with frescoes"
Santo Domingo Church & Cultural Center,"17.0593, -96.7205","17th century baroque masterpiece with gold leaf interior, adjacent museum with Monte Albán treasures, ethnobotanical garden, UNESCO area"
Oaxaca Historic Center (Zócalo),"17.0654, -96.7237","UNESCO World Heritage colonial center, main plaza surrounded by portales, cafes, cathedral, and government palace"
Oaxaca Cathedral,"17.0650, -96.7241","Metropolitan Cathedral of Our Lady of the Assumption, baroque architecture with earthquake-resistant design, facing the zócalo"
Mercado 20 de Noviembre,"17.0641, -96.7248","Traditional covered market famous for tlayudas, tasajo (dried beef), mole, and authentic Oaxacan street food"
Mercado Benito Juárez,"17.0643, -96.7251","Artisan market adjacent to 20 de Noviembre, selling traditional crafts, textiles, mezcal, chocolate, local products"
Museo de las Culturas de Oaxaca,"17.0593, -96.7205","Regional museum in former Santo Domingo monastery, 23 rooms covering Oaxacan history, Tomb 7 treasures from Monte Albán"
Textile Museum of Oaxaca,"17.0601, -96.7213","Museum dedicated to indigenous weaving traditions, natural dyes, and textile arts of Oaxaca's ethnic groups"
Ethnobotanical Garden,"17.0595, -96.7203","Behind Santo Domingo, showcases native Oaxacan plants with cultural significance, guided tours required, founded by Francisco Toledo"
Teotitlán del Valle,"17.0328, -96.5558","Traditional weaving village 31km from Oaxaca, hand-woven wool rugs with natural dyes, demonstrations and workshops available"
San Bartolo Coyotepec,"16.9431, -96.6931","Village 12km south famous for distinctive black pottery (barro negro), workshops and demonstrations available"
Santa María Atzompa,"17.0878, -96.7668","Village known for green-glazed ceramics and Day of the Dead cemetery celebrations, archaeological site nearby"
Mitla Archaeological Site,"16.9266, -96.3592","Zapotec site 44km from Oaxaca famous for intricate geometric stone mosaics, second most important site in Oaxaca state"
Santiago Matatlán,"16.8667, -96.3833","Self-proclaimed World Capital of Mezcal, 40% of Mexico's mezcal production, palenque tours and tastings available"
